epoch,epoch_time,train_box_loss,train_cls_loss,train_dfl_loss,val_metrics_precision(B),val_metrics_recall(B),val_metrics_mAP50(B),val_metrics_mAP50-95(B),val_val_box_loss,val_val_cls_loss,val_val_dfl_loss,lr_lr/pg0,lr_lr/pg1,lr_lr/pg2
1,None,2.43143,7.73048,1.32899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.740957966764418e-05,8.740957966764418e-05,8.740957966764418e-05
2,49.58052635192871,2.14709,5.13052,1.12746,0.241,0.12261,0.05542,0.02402,2.06663,3.30838,1.12295,0.00017334299149560117,0.00017334299149560117,0.00017334299149560117
3,46.22879457473755,2.07489,4.06693,1.11553,0.31226,0.19472,0.14679,0.06863,1.96104,2.68808,1.10254,0.00025754060332355816,0.00025754060332355816,0.00025754060332355816
4,46.674468994140625,2.02462,3.39104,1.11057,0.37777,0.30097,0.25922,0.12048,1.93753,2.39372,1.10231,0.0002551889,0.0002551889,0.0002551889
5,46.90091347694397,2.02458,2.94459,1.1054,0.40393,0.33987,0.30892,0.14107,1.89329,2.13875,1.09412,0.00025258519999999995,0.00025258519999999995,0.00025258519999999995
6,46.70175290107727,1.97922,2.63106,1.08964,0.39588,0.39039,0.37214,0.16962,1.87221,2.0515,1.10179,0.0002499815,0.0002499815,0.0002499815
7,47.379072189331055,1.96157,2.39604,1.08584,0.48561,0.42228,0.42291,0.19805,1.86074,1.90422,1.0815,0.0002473778,0.0002473778,0.0002473778
8,47.96958875656128,1.92105,2.24557,1.07488,0.52635,0.44267,0.45404,0.20917,1.84472,1.84118,1.07912,0.0002447741,0.0002447741,0.0002447741
9,46.725258111953735,1.9287,2.12821,1.07479,0.5739,0.43508,0.47405,0.22863,1.81532,1.80577,1.06265,0.00024217040000000002,0.00024217040000000002,0.00024217040000000002
10,46.55012059211731,1.9075,2.02853,1.07611,0.60539,0.44874,0.50743,0.24431,1.83166,1.7151,1.07172,0.0002395667,0.0002395667,0.0002395667
11,46.63109064102173,1.90168,1.94916,1.06709,0.59951,0.46087,0.51321,0.2336,1.8532,1.6878,1.07718,0.000236963,0.000236963,0.000236963
12,46.59712529182434,1.87242,1.87013,1.06316,0.55382,0.45597,0.50448,0.24045,1.80295,1.67937,1.06689,0.0002343593,0.0002343593,0.0002343593
13,48.68098211288452,1.87156,1.80549,1.06349,0.64929,0.48325,0.54484,0.25476,1.79302,1.62203,1.06523,0.00023175559999999998,0.00023175559999999998,0.00023175559999999998
14,50.90826630592346,1.85345,1.75103,1.05709,0.62545,0.50473,0.55596,0.26019,1.78482,1.62965,1.05737,0.00022915189999999998,0.00022915189999999998,0.00022915189999999998
15,47.56175875663757,1.85655,1.73214,1.05144,0.65495,0.49505,0.57062,0.26789,1.80248,1.57111,1.06621,0.0002265482,0.0002265482,0.0002265482
16,46.95458221435547,1.8327,1.66258,1.04493,0.67138,0.53202,0.60002,0.28018,1.828,1.51361,1.07358,0.00022394450000000002,0.00022394450000000002,0.00022394450000000002
17,47.18437075614929,1.84054,1.64016,1.04555,0.62478,0.5206,0.57593,0.26838,1.82617,1.53105,1.07122,0.0002213408,0.0002213408,0.0002213408
18,46.86957263946533,1.82812,1.61481,1.04933,0.60647,0.54201,0.56983,0.26731,1.81918,1.55668,1.07111,0.0002187371,0.0002187371,0.0002187371
19,46.60732889175415,1.81041,1.56374,1.04057,0.6472,0.55285,0.61767,0.28499,1.82066,1.47384,1.07593,0.00021613340000000003,0.00021613340000000003,0.00021613340000000003
20,47.80045795440674,1.81683,1.55628,1.03853,0.64973,0.55761,0.60239,0.28252,1.79418,1.49368,1.07419,0.0002135297,0.0002135297,0.0002135297
21,47.218424558639526,1.8063,1.53961,1.03318,0.6848,0.57765,0.6301,0.3018,1.77783,1.44793,1.05915,0.000210926,0.000210926,0.000210926
22,47.204100131988525,1.80742,1.50443,1.03671,0.65863,0.55638,0.62203,0.29089,1.79111,1.46867,1.06336,0.0002083223,0.0002083223,0.0002083223
23,46.6102454662323,1.79031,1.48999,1.03354,0.6929,0.55611,0.63549,0.29359,1.78501,1.42525,1.06704,0.00020571859999999999,0.00020571859999999999,0.00020571859999999999
24,47.194287061691284,1.77852,1.4655,1.02457,0.66778,0.57713,0.63337,0.3039,1.77275,1.42125,1.05525,0.0002031149,0.0002031149,0.0002031149
25,47.594130516052246,1.76985,1.42342,1.02569,0.71543,0.59948,0.66575,0.31217,1.78608,1.39918,1.05634,0.0002005112,0.0002005112,0.0002005112
26,47.297282218933105,1.76319,1.41012,1.02625,0.73023,0.55906,0.64949,0.30552,1.78611,1.42159,1.05454,0.0001979075,0.0001979075,0.0001979075
27,47.141547441482544,1.74705,1.39087,1.02272,0.74803,0.56379,0.64998,0.30468,1.79078,1.42586,1.05945,0.0001953038,0.0001953038,0.0001953038
28,78.4511878490448,1.75599,1.37298,1.02598,0.71342,0.56869,0.6543,0.30629,1.772,1.37846,1.04981,0.0001927001,0.0001927001,0.0001927001
29,46.618154525756836,1.73564,1.34162,1.01881,0.73841,0.59249,0.67542,0.31866,1.7689,1.33452,1.04901,0.0001900964,0.0001900964,0.0001900964
30,47.159385204315186,1.73997,1.3396,1.01898,0.72727,0.60065,0.66657,0.31751,1.76808,1.36342,1.04979,0.00018749269999999998,0.00018749269999999998,0.00018749269999999998
31,47.16595649719238,1.74014,1.31432,1.01658,0.71886,0.59147,0.67817,0.32092,1.76981,1.33632,1.04848,0.00018488899999999998,0.00018488899999999998,0.00018488899999999998
32,47.11323881149292,1.72999,1.30497,1.01248,0.72979,0.60335,0.69229,0.32913,1.77612,1.30072,1.05675,0.0001822853,0.0001822853,0.0001822853
33,48.190768241882324,1.71654,1.2826,1.01206,0.74008,0.5902,0.67016,0.31322,1.78694,1.34741,1.05967,0.00017968159999999996,0.00017968159999999996,0.00017968159999999996
34,48.448506593704224,1.70969,1.26403,1.00698,0.75666,0.60826,0.69426,0.32556,1.77502,1.31009,1.06401,0.00017707789999999997,0.00017707789999999997,0.00017707789999999997
35,48.016950845718384,1.72977,1.28561,1.01246,0.75899,0.61615,0.698,0.32864,1.78429,1.27496,1.05999,0.00017447419999999997,0.00017447419999999997,0.00017447419999999997
36,47.78778862953186,1.70427,1.246,1.0026,0.75321,0.63126,0.70654,0.33662,1.77497,1.29536,1.0494,0.0001718705,0.0001718705,0.0001718705
37,47.788031578063965,1.71326,1.23977,1.00229,0.74609,0.62127,0.7007,0.33744,1.7825,1.26984,1.0546,0.0001692668,0.0001692668,0.0001692668
38,47.51702570915222,1.70002,1.22616,1.00127,0.75006,0.61111,0.69838,0.33217,1.76729,1.27509,1.05136,0.0001666631,0.0001666631,0.0001666631
39,47.18402338027954,1.68601,1.20854,1.00391,0.76839,0.60692,0.70193,0.33401,1.77204,1.26507,1.0544,0.0001640594,0.0001640594,0.0001640594
40,47.534706830978394,1.66381,1.18279,0.99737,0.75387,0.62084,0.71015,0.33666,1.79446,1.24935,1.05953,0.00016145569999999999,0.00016145569999999999,0.00016145569999999999
41,47.1897873878479,1.68114,1.18704,0.99846,0.77375,0.62416,0.69963,0.33052,1.79405,1.25067,1.06399,0.000158852,0.000158852,0.000158852
42,47.06196880340576,1.64982,1.16097,0.99318,0.77303,0.62157,0.70731,0.33084,1.78911,1.24037,1.05929,0.00015624830000000002,0.00015624830000000002,0.00015624830000000002
43,47.87407851219177,1.65759,1.16472,0.99222,0.75115,0.63479,0.7073,0.33417,1.79386,1.24856,1.06381,0.00015364460000000002,0.00015364460000000002,0.00015364460000000002
44,48.21176838874817,1.65153,1.14481,0.98833,0.76299,0.62078,0.70002,0.33488,1.79097,1.24617,1.05942,0.0001510409,0.0001510409,0.0001510409
45,47.887009143829346,1.65434,1.13983,0.99098,0.76802,0.64563,0.72486,0.33675,1.76997,1.20428,1.05487,0.0001484372,0.0001484372,0.0001484372
46,48.735148906707764,1.63371,1.12943,0.97878,0.78389,0.64112,0.71817,0.33999,1.7923,1.1873,1.06584,0.0001458335,0.0001458335,0.0001458335
47,66.14220666885376,1.64264,1.11855,0.98788,0.74394,0.65141,0.71938,0.3444,1.79179,1.19475,1.06468,0.0001432298,0.0001432298,0.0001432298
48,50.1642324924469,1.62857,1.11099,0.98689,0.7707,0.64099,0.72164,0.34679,1.7848,1.19326,1.05993,0.0001406261,0.0001406261,0.0001406261
49,47.414874792099,1.6271,1.10552,0.98359,0.7635,0.66105,0.72972,0.3422,1.79876,1.18735,1.06514,0.00013802240000000002,0.00013802240000000002,0.00013802240000000002
50,47.40142011642456,1.60612,1.08829,0.98128,0.79879,0.61684,0.70986,0.33746,1.78468,1.19531,1.06026,0.0001354187,0.0001354187,0.0001354187
51,47.47635889053345,1.6198,1.08828,0.98002,0.79916,0.62193,0.7195,0.34743,1.7895,1.18013,1.06169,0.000132815,0.000132815,0.000132815
52,47.481534242630005,1.60539,1.0728,0.97652,0.81776,0.63008,0.72783,0.34712,1.7912,1.16527,1.06507,0.0001302113,0.0001302113,0.0001302113
53,48.540074825286865,1.58723,1.06662,0.97384,0.79807,0.65414,0.73265,0.3557,1.78735,1.15651,1.07043,0.0001276076,0.0001276076,0.0001276076
54,49.195642948150635,1.59357,1.05608,0.97618,0.79812,0.66746,0.73744,0.35579,1.78654,1.1433,1.06547,0.0001250039,0.0001250039,0.0001250039
55,47.869720458984375,1.58454,1.05083,0.97182,0.82279,0.66157,0.73957,0.35349,1.78716,1.1542,1.06395,0.00012240019999999998,0.00012240019999999998,0.00012240019999999998
56,47.714770555496216,1.56697,1.02066,0.97022,0.83913,0.65523,0.74599,0.35507,1.79106,1.14217,1.06319,0.00011979649999999998,0.00011979649999999998,0.00011979649999999998
57,47.93860840797424,1.58264,1.02973,0.96976,0.81577,0.6616,0.74061,0.35081,1.79499,1.12686,1.07083,0.00011719279999999999,0.00011719279999999999,0.00011719279999999999
58,47.70174956321716,1.56774,1.01164,0.96459,0.8025,0.67223,0.73311,0.34828,1.79733,1.14373,1.06618,0.0001145891,0.0001145891,0.0001145891
59,48.157336473464966,1.56627,1.00681,0.97142,0.78094,0.67815,0.74171,0.35144,1.79696,1.12754,1.07098,0.00011198540000000002,0.00011198540000000002,0.00011198540000000002
60,47.65750789642334,1.55989,1.00597,0.96591,0.81984,0.64042,0.73364,0.3474,1.8089,1.13065,1.0736,0.00010938170000000001,0.00010938170000000001,0.00010938170000000001
61,47.50227403640747,1.55457,1.00119,0.96118,0.82153,0.65324,0.73965,0.355,1.79686,1.11699,1.07277,0.000106778,0.000106778,0.000106778
62,47.30805516242981,1.55989,0.99456,0.96498,0.82361,0.65597,0.7464,0.34854,1.80566,1.11576,1.07279,0.0001041743,0.0001041743,0.0001041743
63,47.27684950828552,1.54035,0.9788,0.95988,0.79646,0.67736,0.7506,0.35595,1.80101,1.11011,1.07243,0.00010157059999999999,0.00010157059999999999,0.00010157059999999999
64,47.40776562690735,1.53469,0.9798,0.96217,0.81985,0.66847,0.75115,0.35362,1.80393,1.11239,1.0706,9.896690000000001e-05,9.896690000000001e-05,9.896690000000001e-05
65,48.3220534324646,1.53087,0.9739,0.95556,0.83063,0.66496,0.75263,0.35856,1.79041,1.09812,1.06421,9.63632e-05,9.63632e-05,9.63632e-05
66,49.08236908912659,1.53994,0.97245,0.9577,0.8342,0.67331,0.75911,0.35551,1.79908,1.09291,1.07689,9.375949999999999e-05,9.375949999999999e-05,9.375949999999999e-05
67,48.23587346076965,1.51177,0.95325,0.95053,0.83675,0.65089,0.74841,0.35298,1.80535,1.10575,1.07488,9.115579999999999e-05,9.115579999999999e-05,9.115579999999999e-05
68,48.21410250663757,1.52462,0.96152,0.95382,0.81654,0.67776,0.74827,0.35434,1.80806,1.09843,1.07599,8.855209999999998e-05,8.855209999999998e-05,8.855209999999998e-05
69,47.95716667175293,1.49745,0.95147,0.94984,0.83384,0.6606,0.74669,0.35359,1.81022,1.10684,1.07628,8.59484e-05,8.59484e-05,8.59484e-05
70,48.09710931777954,1.48205,0.93235,0.95001,0.8173,0.67167,0.74747,0.34851,1.81086,1.10486,1.08138,8.334470000000002e-05,8.334470000000002e-05,8.334470000000002e-05
71,48.23979210853577,1.49247,0.92327,0.94834,0.79452,0.67045,0.74529,0.35485,1.79764,1.08446,1.07398,8.074100000000002e-05,8.074100000000002e-05,8.074100000000002e-05
72,48.250508546829224,1.48596,0.92272,0.94727,0.80057,0.68025,0.75499,0.35978,1.80146,1.08196,1.07224,7.813730000000001e-05,7.813730000000001e-05,7.813730000000001e-05
73,47.985230922698975,1.50005,0.9225,0.95133,0.82607,0.66761,0.75387,0.35924,1.79203,1.07872,1.07303,7.55336e-05,7.55336e-05,7.55336e-05
74,48.38053607940674,1.48535,0.92154,0.94434,0.82681,0.65707,0.75239,0.36024,1.80528,1.08998,1.07682,7.292990000000001e-05,7.292990000000001e-05,7.292990000000001e-05
75,47.479649782180786,1.47201,0.90585,0.94189,0.81531,0.67356,0.75239,0.35818,1.81222,1.07087,1.07735,7.03262e-05,7.03262e-05,7.03262e-05
76,48.3600218296051,1.47569,0.90242,0.944,0.81363,0.6776,0.7576,0.36133,1.80104,1.07176,1.07304,6.77225e-05,6.77225e-05,6.77225e-05
77,48.15863871574402,1.48099,0.91019,0.94174,0.77751,0.68111,0.75161,0.35896,1.80824,1.08076,1.07839,6.51188e-05,6.51188e-05,6.51188e-05
78,48.02147960662842,1.44658,0.87796,0.93972,0.81183,0.67853,0.74696,0.36019,1.806,1.07763,1.07546,6.25151e-05,6.25151e-05,6.25151e-05
79,47.609997272491455,1.4669,0.89789,0.94455,0.84851,0.65786,0.75568,0.36105,1.8005,1.07129,1.07407,5.991139999999999e-05,5.991139999999999e-05,5.991139999999999e-05
80,48.01002812385559,1.44599,0.88417,0.93346,0.80371,0.7015,0.75934,0.36291,1.8006,1.06132,1.07355,5.7307699999999993e-05,5.7307699999999993e-05,5.7307699999999993e-05
81,48.52736568450928,1.44199,0.87872,0.9346,0.8264,0.68569,0.75983,0.36215,1.80184,1.05824,1.07437,5.470399999999999e-05,5.470399999999999e-05,5.470399999999999e-05
82,47.95103931427002,1.44295,0.88189,0.93695,0.81091,0.68742,0.75863,0.36053,1.80818,1.06416,1.07535,5.2100299999999986e-05,5.2100299999999986e-05,5.2100299999999986e-05
83,47.97765803337097,1.44654,0.87525,0.94317,0.81848,0.68282,0.75255,0.3592,1.80141,1.05914,1.0769,4.949660000000002e-05,4.949660000000002e-05,4.949660000000002e-05
84,48.09022259712219,1.43433,0.87696,0.93234,0.81884,0.68341,0.76049,0.36234,1.80339,1.05486,1.07926,4.689290000000001e-05,4.689290000000001e-05,4.689290000000001e-05
85,47.968987703323364,1.42881,0.86494,0.93448,0.82276,0.69089,0.76581,0.36431,1.80673,1.05497,1.07805,4.428920000000001e-05,4.428920000000001e-05,4.428920000000001e-05
86,47.84921956062317,1.40619,0.85916,0.92607,0.82786,0.68223,0.76013,0.36346,1.80076,1.04359,1.07743,4.1685500000000006e-05,4.1685500000000006e-05,4.1685500000000006e-05
87,48.25302457809448,1.41255,0.85128,0.92688,0.84003,0.66825,0.75777,0.36559,1.80444,1.04396,1.07682,3.90818e-05,3.90818e-05,3.90818e-05
88,47.559088468551636,1.41839,0.84935,0.93005,0.80971,0.69437,0.75978,0.36563,1.79788,1.0441,1.07462,3.6478100000000006e-05,3.6478100000000006e-05,3.6478100000000006e-05
89,47.57364892959595,1.40424,0.84638,0.92891,0.82456,0.6788,0.75589,0.36483,1.79693,1.04746,1.07667,3.38744e-05,3.38744e-05,3.38744e-05
90,47.75691246986389,1.40079,0.83882,0.9239,0.84029,0.67475,0.75869,0.3647,1.79909,1.04975,1.07663,3.127069999999999e-05,3.127069999999999e-05,3.127069999999999e-05
91,47.56907367706299,1.41972,0.82705,0.95382,0.84516,0.66921,0.76133,0.3664,1.79448,1.04215,1.07514,2.866699999999999e-05,2.866699999999999e-05,2.866699999999999e-05
92,70.87085437774658,1.38028,0.7915,0.93884,0.83043,0.66919,0.74134,0.35571,1.80528,1.06417,1.08252,2.606329999999999e-05,2.606329999999999e-05,2.606329999999999e-05
93,47.39273929595947,1.35478,0.77102,0.93239,0.83622,0.6692,0.74561,0.35463,1.8051,1.06785,1.0826,2.3459599999999988e-05,2.3459599999999988e-05,2.3459599999999988e-05
94,47.23555326461792,1.35488,0.76215,0.93519,0.84038,0.665,0.74277,0.35639,1.80565,1.06527,1.08341,2.0855899999999984e-05,2.0855899999999984e-05,2.0855899999999984e-05
95,46.884233713150024,1.348,0.7591,0.93029,0.82731,0.67135,0.74341,0.35767,1.80163,1.05837,1.08274,1.825220000000001e-05,1.825220000000001e-05,1.825220000000001e-05
96,47.08842658996582,1.33584,0.75218,0.93075,0.83915,0.66557,0.74797,0.36044,1.79593,1.05769,1.08098,1.564850000000001e-05,1.564850000000001e-05,1.564850000000001e-05
97,47.20163917541504,1.32913,0.752,0.92926,0.85042,0.65713,0.75026,0.35972,1.79611,1.05608,1.08226,1.3044800000000011e-05,1.3044800000000011e-05,1.3044800000000011e-05
98,46.95770215988159,1.33173,0.74156,0.9293,0.83243,0.67838,0.75365,0.35825,1.79905,1.0529,1.08137,1.0441100000000007e-05,1.0441100000000007e-05,1.0441100000000007e-05
99,47.75449275970459,1.32326,0.7425,0.92745,0.83026,0.67683,0.75161,0.35965,1.79819,1.0499,1.08133,7.837400000000006e-06,7.837400000000006e-06,7.837400000000006e-06
100,47.10360050201416,1.32766,0.74868,0.92672,0.8287,0.67637,0.75367,0.36138,1.79773,1.04857,1.08106,5.233700000000002e-06,5.233700000000002e-06,5.233700000000002e-06
